displayName,address,lng,lat,type
"工業福音團契鴨脷洲好鄰舍天地","香港南區鴨脷洲新市街30號(鴨脷洲浸信會內)",114.15679799999998,22.243859,"Food-Co Service Point"
"土瓜灣浸信會","九龍紅磡榮光街52號榮輝商場2樓",114.18946699999992,22.313451,"Food-Co Service Point"
"基督教奇恩會 ","九龍油尖旺區大角咀惠安街21-23號地下基督教新生會堂（奇恩會）",114.16132050246415,22.323140376117067,"Food-Co Service Point"
"香港基督教使徒信心會恩澤中心","九龍黃大仙區九龍城東頭村道183號東頭邨祥東樓地下1-3號",114.19348739999998,22.3331544,"Food-Co Service Point"
"展望社","九龍觀塘區藍田平田邨平真樓地下2號",114.23742916833112,22.30803218537078,"Food-Co Service Point"
"社會福利署黃大仙綜合家庭服務中心","九龍黃大仙區黃大仙正德街104號黃大仙社區中心204室",114.1941481,22.34094,"Food-Co Service Point"
"惜食分餉站","九龍深水埗區荔枝角瓊林街93號龍翔工業大廈四樓F室",114.14755830000001,22.3397524,"Food-Co Service Point"
"惜食堂深水埗廚房","九龍深水埗區深水埗海壇街235號豐盛大廈地下",114.157378,22.329226,"Food-Co Service Point"
"惜食堂柴灣廚房","香港東區柴灣安業街12號長益工業大廈11樓A室",114.24587599999995,22.2670912,"Food-Co Service Point"
"惜食堂社區中心","九龍深水埗區深水埗九江街10-16號豐盛大廈",114.1573353,22.3292074,"Food-Co Service Point"
"利駿行慈善基金東區睦鄰中心","香港銅鑼灣屈臣道15號維多利中心403室",114.1902916,22.2872679,"Food-Co Service Point"
"循道衛理楊震社會服務處油尖旺成長軒","九龍油尖旺區旺角上海街396號5樓",114.16918529999998,22.3140392,"Food-Co Service Point"
"將軍澳基督教錫安堂暨安臨中心","新界西貢區將軍澳翠林邨安林樓三樓316-325室",114.2489135966614,22.32390396284466,"Food-Co Service Point"
"救世軍露宿者綜合服務","九龍油尖旺區油麻地上海街345A號2樓露宿者之家",114.16934149999997,22.31246909999999,"Food-Co Service Point"
"浸信會愛羣社會服務處 (長沙灣)","九龍深水埗區長沙灣順寧道323號2樓",114.1569637,22.3384659,"Food-Co Service Point"
"基督教宣道會恩樂堂","香港東區北角英皇道379-381號福英大廈2樓",114.19825249999997,22.2909739,"Food-Co Service Point"
"香港聖公會麥理浩夫人中心「時刻共享」社區計劃","新界葵涌邨旭葵樓地下7號室",114.13484900000003,22.3680575,"Food-Co Service Point"
"東華三院余墨緣綜合服務中心","九龍深水埗區深水埗西村路19號富昌邨富潤樓服務設施大樓五樓",114.15517550000004,22.3272151,"Food-Co Service Point"
"循道衛理觀塘社會服務處神愛關懷中心","九龍觀塘區翠屏道19號翠屏北邨翠榕樓",114.23070000000007,22.314984,"Food-Co Service Point"
"恩活社區服務中心","九龍油尖旺區油麻地偉晴街23號地下",114.16750750000006,22.3062086,"Food-Co Service Point"
"新福事工協會(觀塘伙伴教會)","九龍觀塘區牛頭角馬蹄徑2號",114.22184149999998,22.3146445,"Food-Co Service Point"
